Metric Name,Solution KM Note,SQL Statement,Solution for the issue,Application Code,Issue Summary,Issue Description,Issue Severity,Product to raise SR if help needed,SR Component,SR Sub Component,Scheduling,Scheduling Details,Business Impact,Business Flow,Prod Family,Prod Area
PSFT_GL_CORRUPTED_DATA_CHECK,2393860.1,"select 'Y' as EVENT
, count(*) || ' Corrupted data rows(Currency code and Base currency same but corresponding Transaction amount and Base amounts differ) exist in Ledger record' as KEY_DATA
, 'Please Follow instructions in KM Doc ID 2393860.1' as SOLUTION
from (
SELECT distinct  'Corrupted data rows(Currency code and Base currency same but corresponding Transaction amount and Base amounts differ) exist in Ledger record for Business Unit '||Z.BUSINESS_UNIT||', Ledger '||Z.LEDGER||', Fiscal year '||Z.FISCAL_YEAR KEY_DATA
FROM (SELECT A.BUSINESS_UNIT, A.LEDGER, A.FISCAL_YEAR FROM SYSADM.PS_LEDGER A WHERE
A.FISCAL_YEAR IN (
(SELECT TO_CHAR(SYSDATE,'YYYY') FROM DUAL),
(SELECT TO_CHAR(SYSDATE,'YYYY')-1 FROM DUAL),
(SELECT TO_CHAR(SYSDATE,'YYYY')+1 FROM DUAL))
AND A.CURRENCY_CD = A.BASE_CURRENCY
AND A.BASE_CURRENCY <> ' '
AND A.POSTED_TRAN_AMT <> A.POSTED_BASE_AMT) Z
UNION
SELECT distinct 'Corrupted data rows with multiple Base currency exist in Ledger record for Business Unit '||Z.BUSINESS_UNIT||', Ledger '||Z.LEDGER KEY_DATA
FROM (SELECT DISTINCT A.BUSINESS_UNIT, A.LEDGER, COUNT(DISTINCT BASE_CURRENCY) FROM SYSADM.PS_LEDGER A WHERE
A.BASE_CURRENCY <> ' ' AND
A.FISCAL_YEAR IN(
(SELECT TO_CHAR(SYSDATE,'YYYY') FROM DUAL),
(SELECT TO_CHAR(SYSDATE,'YYYY')-1 FROM DUAL),
(SELECT TO_CHAR(SYSDATE,'YYYY')+1 FROM DUAL))
GROUP BY A.BUSINESS_UNIT, A.LEDGER
HAVING COUNT(DISTINCT BASE_CURRENCY) > 1) Z
) having count(*) >= 1",Please refer EGL9.2: [Functional Diagnostics] How To Find Corrupt Data Rows In Ledger That Would Create Unbalanced Closing Entries ? (Doc ID 2393860.1) to identify the problem data. If you need further help please create service request with Oracle Support GL team.,GL,Corrupted data rows in ledger,,2,PeopleSoft Enterprise FIN General Ledger,CLOSIN,,MONTH,1,"Metric will : 
Proactively check if Currency code and Base currency same but corresponding Transaction amount and Base amounts differ.
Rows with multiple Base currency exist in Ledger record for the same combination of Business units + Ledger",,PeopleSoft Financial Management,PeopleSoft General Ledger
PSFT_GL_CHART_CONFIG__SYNC_CHECK_FSCM,2393901.1,"SELECT distinct 'Y' EVENT, 'Chartfield configuration was run in FSCM, but Configuration details not successfully published to HCM/SF' KEY_DATA,
'Please Follow instructions in KM Doc ID 2393901.1' ACTION, '2393901.1' SOLUTION
FROM SYSADM.PS_INSTALLATION WHERE
(SELECT NVL(MAX(DTTIME_LAST_MAINT),'01-JAN-1900') FROM SYSADM.PS_FS_CF_ACT_LOG WHERE CF_STATUS='C') >
(SELECT NVL(MAX(PUBLISHTIMESTAMP),'01-JAN-1900') FROM SYSADM.PSAPMSGPUBCON WHERE IB_OPERATIONNAME = 'FSCM_CF_CONFIG' AND PUBCONSTATUS=4)",Please refer KM document EGL9.2: [Functional Diagnostics] How To Identify If Chartfield Configuration Details Is In-SYNC Between FSCM to HCM/SF? (Doc ID 2393901.1) to identify if any data is not in sync between FSCM and HCM.,GL,Chartfield configuration out of sync,,2,PeopleSoft Enterprise FIN General Ledger,CHARTFS,,MONTH,1,"Metric will : 
Proactively check if after last Chartfield Configuration process , Chartfield Configuration Details  is in sync between FSCM and HCM
Prevent inconsistencies in accounting in North America payroll and General Ledger",,PeopleSoft Financial Management,PeopleSoft General Ledger
PSFT_AP_VOUCHERS_STUCK,2363849.1,"SELECT 'Total number of Vouchers stuck in process and need your attention: ' || COUNT(*) AS KEY_DATA,
'EAP: Vouchers Stuck In Process (VOUCHER.IN_PROCESS_FLG =Y) (Doc ID 2363849.1)' AS SOLUTION,
'Y' AS EVENT
FROM SYSADM.PS_VOUCHER A
WHERE A.IN_PROCESS_FLG ='Y'
AND ( (A.PROCESS_INSTANCE IN (SELECT B.PROCESS_INSTANCE FROM SYSADM.PS_VOUCHER B, SYSADM.PSPRCSRQST C
WHERE B.PROCESS_INSTANCE = C.PRCSINSTANCE AND C.RUNSTATUS NOT IN (9,7)))
OR (A.PROCESS_INSTANCE NOT IN (SELECT D.PROCESS_INSTANCE FROM SYSADM.PS_VOUCHER D, SYSADM.PSPRCSRQST E
WHERE D.PROCESS_INSTANCE = E.PRCSINSTANCE)))
HAVING COUNT(*) > 0",Please follow the solution in KM document EAP: Vouchers Stuck In Process (VOUCHER.IN_PROCESS_FLG ='Y) (Doc ID 2363849.1).,AP,Vouchers stuck in processing,Check if Vouchers are stuck in process,2,PeopleSoft Enterprise FIN Payables,VCHRPRCS,VCHRPST,DAY,1,"Metric will : 
Proactively identify Vouchers that are stuck  in process and provide the list if vouchers and its related information 
Solution/ Action plan will be provided based on the Voucher details fetched
This will reduce time spent on finding the reasons why vouchers not getting paid 
Payments are can be done in time to utilize the early payment discounts
Prevent accruing late charges
-    Reduce phone calls/inquiry from Suppliers regarding ETA on Payments.",,PeopleSoft Financial Management,PeopleSoft Payables
PSFT_AP_VOUCHER_INCOMPLETE,2545958.1,"SELECT 'Total number of Vouchers with Incomplete Status and need your attention :  ' || COUNT(*) AS KEY_DATA, 
'EAP: Vouchers With Incomplete Status (Doc ID 2545958.1)' AS SOLUTION, 
COUNT(*) AS COUNT  
FROM SYSADM.PS_VOUCHER A
WHERE A.IN_PROCESS_FLG ='N' 
AND A.ENTRY_STATUS = 'R' 
AND A.VCHR_DRAFT_FLG = 'Y' 
AND A.IN_PROCESS_FLG IN ('N',' ')
","User can refer KM doc EAP: Vouchers With Incomplete Status (Doc ID 2545958.1) for details.
1: To identify incomplete vouchers, the user can either search in the Regular Entry Voucher Search page and take action.

2: When using Accounts Payables Work Center, users can also add ""Incomplete Voucher(s)""  link under My Work.

3: Following SQL gives the list of all incomplete Vouchers in the system along with the User ID who entered the Voucher and the last User Id to update the Voucher. 

SELECT A.BUSINESS_UNIT
 , A.VOUCHER_ID
 , A.VENDOR_SETID
 , A.VENDOR_ID
 , B.VENDOR_NAME_SHORT
 , B.NAME1
 , A.INVOICE_ID
 , A.INVOICE_DT
 , A.GROSS_AMT
 , A.TXN_CURRENCY_CD
 , A.OPRID
 , A.OPRID_LAST_UPDT
 , A.ORIGIN
 , A.VOUCHER_STYLE
 , A.VCHR_SRC
 , A.ENTERED_DT
  FROM PS_VOUCHER A
  , PS_VENDOR B
 WHERE A.VENDOR_SETID = B.SETID
   AND A.VENDOR_ID = B.VENDOR_ID
   AND A.ENTRY_STATUS = 'R'
   AND A.VCHR_DRAFT_FLG = 'Y'",AP,Incomplete Vouchers,,2,PeopleSoft Enterprise FIN Payables,VCHRCR,VCHRENT,WEEK,MON,Proactively identify Vouchers that are incomplete status and need user attention.,,PeopleSoft Financial Management,PeopleSoft Payables
PSFT_AP_VOUCHERS_UNPOSTED,622217.1,"select 'Y' as EVENT
, 'EAP: Payment Post / Voucher Post ABENDED at Step AP_PSTCOMMON.ACCOUNTS.Step05 with a ""duplicate rows in a table with a UNIQUE index"" Error. (Doc ID 622217.1)' as SOLUTION
, count(*) || ' Vouchers with existing Accrual/Closure Accounting Entries, or Vouchers with unposted Payments and existing Payment/Cancel Accounting Entries' as KEY_DATA
from (
SELECT 'Total number of Vouchers with existing Accruals/Closure Accounting Entries: ' || COUNT(*) as KEY_DATA
FROM SYSADM.PS_VOUCHER A
WHERE (A.BUSINESS_UNIT,A.VOUCHER_ID ) IN (SELECT DISTINCT B.BUSINESS_UNIT,B.VOUCHER_ID FROM SYSADM.PS_VOUCHER B, SYSADM.PS_VCHR_ACCTG_LINE C
WHERE A.BUSINESS_UNIT = B.BUSINESS_UNIT
AND A.VOUCHER_ID = B.VOUCHER_ID
AND B.BUSINESS_UNIT = C.BUSINESS_UNIT
AND B.VOUCHER_ID=C.VOUCHER_ID
AND (( B.POST_STATUS_AP = 'U'AND C.POSTING_PROCESS ='ACCR' AND C.UNPOST_SEQ = 0)
OR ( B.POST_STATUS_AP = 'P' AND B.PROCESS_MAN_CLOSE = 'Y' AND C.POSTING_PROCESS = 'CLOS')))
having count(*) >= 20
UNION
SELECT 'Total number of Vouchers with unposted Payments with existing Payment/Cancel Accounting Entries: ' || COUNT(*) as KEY_DATA
FROM SYSADM.PS_PYMNT_VCHR_XREF A
WHERE (A.BUSINESS_UNIT,A.VOUCHER_ID,A.PYMNT_CNT ) IN (SELECT DISTINCT B.BUSINESS_UNIT,B.VOUCHER_ID,B.PYMNT_CNT
FROM SYSADM.PS_PYMNT_VCHR_XREF B, SYSADM.PS_VCHR_ACCTG_LINE C ,SYSADM.PS_PAYMENT_TBL D
WHERE B.BUSINESS_UNIT = A.BUSINESS_UNIT
AND B.VOUCHER_ID = A.VOUCHER_ID
AND B.PYMNT_CNT = A.PYMNT_CNT
AND A.BUSINESS_UNIT = C.BUSINESS_UNIT
AND A.VOUCHER_ID = C.VOUCHER_ID
AND A.PYMNT_CNT = C.PYMNT_CNT
AND B.BUSINESS_UNIT = C.BUSINESS_UNIT
AND B.VOUCHER_ID = C.VOUCHER_ID
AND B.PYMNT_CNT = C.PYMNT_CNT
AND D.BANK_SETID = B.BANK_SETID
AND D.BANK_CD = B.BANK_CD
AND D.BANK_ACCT_KEY = B.BANK_ACCT_KEY
AND D.PYMNT_ID = B.PYMNT_ID
AND ((D.POST_STATUS_AP = 'U' and C.POSTING_PROCESS = 'PYMN')
OR (D.POST_STATUS_AP = 'P' and D.CANCEL_ACTION in ('R','C','H') AND C.POSTING_PROCESS='CANC' AND D.CANCEL_POST_STATUS ='W')))
having count(*) >= 20
)having count(*) >= 1","Please refer KM document EAP: Payment Post / Voucher Post ABENDED at Step AP_PSTCOMMON.ACCOUNTS.Step05 with a ""duplicate rows in a table with a UNIQUE index"" Error (Doc ID 622217.1) for detailed solution.",AP,Unposted Vouchers,,2,PeopleSoft Enterprise FIN Payables,VCHRPRCS,VCHRPST,DAY,1,"Metric will : 
Proactively identify Vouchers/Payments that are posted but the flags didn’t get update
Solution/ Action plan will be provided based on the Voucher details fetched
This will prevent further abends  which will need very extensive invasive steps to fix.  Fixing the data before its reprocessed involves less invasive measures",,PeopleSoft Financial Management,PeopleSoft Payables
PSFT_FIN_PA_PRICING_STUCK,2707359.1,"select 'Total number of Transactions in PROJ_RESOURCE stuck with PC_DISTRIB_STATUS in locked status that needs your attention: ' || Count(*) AS KEY_DATA,
'The PC_DISTRIB_STATUS of ""L"" status shows that something went wrong with PC_PRICING engine. Please review trace files for errors and refer to EPC: PC_PRICING Is Not Creating Expected Target Rows for Rate Based Contracts. the Contract ID on the Transactions Is Also Blank. (Doc ID 2707359.1)' AS SOLUTION,
'Y' as EVENT
from SYSADM.PS_PROJ_RESOURCE where PC_DISTRIB_STATUS = 'L'
having count(*) >= 1","Application Engine PC_PRICING has not run successfully. Some of the rows in PROJ_RESOUCE is having PC_DISTRIB_STATUS of ""L"" (locked). Please review the knowledge document:  EPC: PC_PRICING Is Not Creating Expected Target Rows for Rate Based Contracts. the Contract ID on the Transactions Is Also Blank. (Doc ID 2707359.1) to implement workaround/solution.",PC,Pricing transactions stuck,,2,PeopleSoft Enterprise FIN Project Costing,PRICIN,,DAY,1,Stuck transactions need attention as they could impact financials,O2C: Credit to Cash,PeopleSoft Financial Management,PeopleSoft Project Accounting
PSFT_BEN_BENPROG_ORPH_CHK,607150.1,"Select 'Review ' || count(*) || ' Orphaned Row(s) In The Benefit Plan,Option,Cost Tables' AS KEY_DATA, 'Benefits Administration Error: Cost not found for Pgm/Plan/Optn (Doc ID 607150.1)' SOLUTION, 'Y' AS EVENT
From(
SELECT 'Potential Ben Admin Process Issue Caused By Benefit Program Structure Orphaned Data (See KM 607150.1 - Go To Item#12)' AS KEY_DATA
FROM SYSADM.PS_BEN_DEFN_PLAN A WHERE NOT EXISTS (SELECT * FROM SYSADM.PS_BEN_DEFN_PGM B WHERE B.BENEFIT_PROGRAM = A.BENEFIT_PROGRAM AND B.EFFDT = A.EFFDT)
UNION
SELECT 'Potential Ben Admin Process Issue Caused By Benefit Program Structure Orphaned Data (See KM 607150.1 - Go To Item#12)' AS KEY_DATA
FROM SYSADM.PS_BEN_DEFN_OPTN A WHERE NOT EXISTS (SELECT * FROM SYSADM.PS_BEN_DEFN_PLAN B WHERE B.BENEFIT_PROGRAM = A.BENEFIT_PROGRAM AND B.EFFDT = A.EFFDT AND B.PLAN_TYPE = A.PLAN_TYPE)
UNION
SELECT 'Potential Ben Admin Process Issue Caused By Benefit Program Structure Orphaned Data (See KM 607150.1 - Go To Item#12)' AS KEY_DATA
FROM SYSADM.PS_BEN_DEFN_COST A WHERE NOT EXISTS (SELECT * FROM SYSADM.PS_BEN_DEFN_OPTN B WHERE B.BENEFIT_PROGRAM = A.BENEFIT_PROGRAM AND B.EFFDT = A.EFFDT AND B.PLAN_TYPE = A.PLAN_TYPE AND B.OPTION_ID = A.OPTION_ID)
)
having count(*) > 0","Symptoms
-----------
When running Benefits Administration (PSPBARUN), an error is encountered: Cost not found for Program / Plan / Option.

Cause
------
Orphaned records in the Benefit Program configuration tables.

Solution
--------
Using SQL query tool run SQLs below to identify “orphan” rows from the following tables with parent/child relationships:

PS_BEN_DEFN_PLAN
PS_BEN_DEFN_OPTN
PS_BEN_DEFN_COST

1.SELECT A.BENEFIT_PROGRAM, A.EFFDT, A.PLAN_TYPE
FROM PS_BEN_DEFN_PLAN A
WHERE NOT EXISTS (SELECT *
FROM PS_BEN_DEFN_PGM B
WHERE B.BENEFIT_PROGRAM = A.BENEFIT_PROGRAM
AND B.EFFDT = A.EFFDT)

2.SELECT A.BENEFIT_PROGRAM, A.EFFDT, A.PLAN_TYPE, A.OPTION_ID
FROM PS_BEN_DEFN_OPTN A
WHERE NOT EXISTS (SELECT *
FROM PS_BEN_DEFN_PLAN B
WHERE B.BENEFIT_PROGRAM = A.BENEFIT_PROGRAM
AND B.EFFDT = A.EFFDT
AND B.PLAN_TYPE = A.PLAN_TYPE)

3.SELECT A.BENEFIT_PROGRAM, A.EFFDT, A.PLAN_TYPE, A.OPTION_ID, A.COST_ID
FROM PS_BEN_DEFN_COST A
WHERE NOT EXISTS (SELECT *
FROM PS_BEN_DEFN_OPTN B
WHERE B.BENEFIT_PROGRAM = A.BENEFIT_PROGRAM
AND B.EFFDT = A.EFFDT
AND B.PLAN_TYPE = A.PLAN_TYPE
AND B.OPTION_ID = A.OPTION_ID)

Analyze Data returned by these SQLs and delete these ""orphan"" rows.",BENEFIT_ADMINISTRN,Benefit Program orphan records,,2,PeopleSoft Enterprise HCM Benefits,DEDUCT,,DAY,1,Orphaned records in the Benefit Program configuration tables.,,PeopleSoft Human Capital Management,PeopleSoft Advanced Benefits
PSFT_BEN_HSA_PLAN_CHK,2346429.1,"Select 'Review ' || count(*) || ' Missing HSA Plan(s) in FSA Benefits Table That May Impact Payroll Process' AS KEY_DATA, 'Payroll Fails with the Following Error: Message ID 000027 The benefit plan displayed below was not found in the appropriate benefit table. (Doc ID 2346429.1)' SOLUTION, 'Y' AS EVENT
From(
SELECT 'Potential Payroll Issue Caused By Missing HSA Plan in FSA Benefits Table (See KM 2346429.1)' AS KEY_DATA
From SYSADM.PS_FSA_BENEFIT F
Where F.effdt = (Select max(effdt)
From SYSADM.PS_FSA_BENEFIT
Where emplid = F.emplid
And empl_rcd = F.empl_rcd
And cobra_event_id = F.cobra_event_id
And plan_type = F.plan_type
And benefit_nbr = F.benefit_nbr
And effdt <= SYSDATE)
And F.plan_type = 67
And F.coverage_elect = 'E'
And not exists (Select 'X'
From SYSADM.PS_FSA_BENEF_TBL FB
Where FB.plan_type = F.plan_type
And FB.benefit_plan = F.benefit_plan
And FB.effdt = (Select max(effdt)
From SYSADM.PS_FSA_BENEF_TBL
Where plan_type = FB.plan_type
And benefit_plan = FB.benefit_plan
And effdt <= F.effdt))
)
having count(*) > 0","Symptoms
--------
When running Payroll calculation, it fails with the following error:

Message ID 000027: The benefit plan displayed below was not found in the appropriate benefit table.
Message Data: 67 HSA.

Cause
------
The Health Savings Account (HSA) Plan was not set up in the FSA Benefits Table.
Error message is being generated because no Plan Attributes were set up for the HSA Plan in this environment.
 
Solution
--------
To implement this solution, please take the following steps:

1. Configure the HSA Plan on the FSA Benefits Table (Navigation: Set Up HCM > Product Related > Base Benefits > Plan Attributes > FSA Benefits Table).
2. Calculate payroll checks again (Navigation: Payroll for North America > Payroll Processing USA > Produce Payroll > Calculate Payroll).",BENEFIT_ADMINISTRN,Flexible Spending Account not connected to benefit plan,,2,PeopleSoft Enterprise HCM Benefits,FSA,,DAY,1,Flexible Spending Account is not connected to a Benefit Plan,,PeopleSoft Human Capital Management,PeopleSoft Advanced Benefits
PSFT_BEN_COBRA_ORPH_CHK,609206.1,"Select 'Review ' || count(*) || ' Cobra Benefits Orphaned Data That May Cause Issue With PSPCOBRA Process' AS KEY_DATA, 'COBRA Administration Error: 153 - Subscript Out Of Range, When Reprocessing Event To ""Qualify"" or ""Prepare Options"" (Doc ID 609206.1)' SOLUTION, 'Y' AS EVENT
From(
SELECT 'Potential Cobra process (PSPCOBRA) Issue Caused By Cobra Benefits Orphaned Data (See KM 609206.1)' AS KEY_DATA
from SYSADM.ps_cbr_partic p
where not exists (select 'x'
from SYSADM.ps_cobra_event e
where e.emplid = p.emplid
and e.benefit_rcd_nbr = p.benefit_rcd_nbr
and e.cobra_event_id = p.cobra_event_id)
UNION
SELECT 'Potential Cobra process (PSPCOBRA) Issue Caused By Cobra Benefits Orphaned Data (See KM 609206.1)' AS KEY_DATA
from SYSADM.ps_cbr_partic_plan p
where not exists (select 'x'
from SYSADM.ps_cbr_partic e
where e.emplid = p.emplid
and e.benefit_rcd_nbr = p.benefit_rcd_nbr
and e.cobra_event_id = p.cobra_event_id
and e.dependent_benef = p.dependent_benef)
UNION
SELECT 'Potential Cobra process (PSPCOBRA) Issue Caused By Cobra Benefits Orphaned Data (See KM 609206.1)' AS KEY_DATA
from SYSADM.PS_CBR_PARTIC_OPTN p
where not exists (select 'x'
from SYSADM.PS_CBR_PARTIC_PLAN e
where e.emplid = p.emplid
and e.benefit_rcd_nbr = p.benefit_rcd_nbr
and e.cobra_event_id = p.cobra_event_id
and e.dependent_benef = p.dependent_benef
AND e.plan_type = p.plan_type)
UNION
SELECT 'Potential Cobra process (PSPCOBRA) Issue Caused By Cobra Benefits Orphaned Data (See KM 609206.1)' AS KEY_DATA
from SYSADM.PS_CBR_PARTIC_DPND p
where not exists (select 'x'
from SYSADM.PS_CBR_PARTIC_PLAN e
where e.emplid = p.emplid
and e.benefit_rcd_nbr = p.benefit_rcd_nbr
and e.cobra_event_id = p.cobra_event_id
and e.dependent_benef = p.dependent_benef
AND e.plan_type = p.plan_type)
)
having count(*) > 0","Symptoms
-----------
Reprocessing COBRA events back to ""Qualify"" or ""Prepare Options""  caused an error 153 Subscript Out Of Range Error.

Cause
------
One possibility that could have caused the 153 error could be that when it tried to prepare the options, it saw that there was a new plan type that was added in that did qualify during the original processing.  It deleted the CBR_PARTIC_DPND and OPTN, however, it didn't delete the CBR_PARTIC and somehow became out of sync.

Solution
--------
Run SQL queries below to identify ""orphan"" rows in Cobra event tables:

select p.emplid
, p.benefit_rcd_nbr
, p.cobra_event_id
, P.DEPENDENT_BENEF
from ps_cbr_partic p
where not exists (select 'x'
from ps_cobra_event e
where e.emplid = p.emplid
and e.benefit_rcd_nbr = p.benefit_rcd_nbr
and e.cobra_event_id = p.cobra_event_id)

select p.emplid
, p.benefit_rcd_nbr
, p.cobra_event_id
, P.DEPENDENT_BENEF
, P.PLAN_TYPE
from ps_cbr_partic_plan p
where not exists (select 'x'
from ps_cbr_partic e
where e.emplid = p.emplid
and e.benefit_rcd_nbr = p.benefit_rcd_nbr
and e.cobra_event_id = p.cobra_event_id
and e.dependent_benef = p.dependent_benef)

select p.emplid
, p.benefit_rcd_nbr
, p.cobra_event_id
, P.DEPENDENT_BENEF
, P.PLAN_TYPE
, P.OPTION_ID
from PS_CBR_PARTIC_OPTN p
where not exists (select 'x'
from PS_CBR_PARTIC_PLAN e
where e.emplid = p.emplid
and e.benefit_rcd_nbr = p.benefit_rcd_nbr
and e.cobra_event_id = p.cobra_event_id
and e.dependent_benef = p.dependent_benef
AND e.plan_type = p.plan_type)

select p.emplid
, p.benefit_rcd_nbr
, p.cobra_event_id
, P.DEPENDENT_BENEF
, P.PLAN_TYPE
, P.COBRA_DEP_BENEF
from PS_CBR_PARTIC_DPND p
where not exists (select 'x'
from PS_CBR_PARTIC_PLAN e
where e.emplid = p.emplid
and e.benefit_rcd_nbr = p.benefit_rcd_nbr
and e.cobra_event_id = p.cobra_event_id
and e.dependent_benef = p.dependent_benef
AND e.plan_type = p.plan_type)

Analyze data returned by these SQLs and delete any ""orphan"" rows using SQL query tool.",BENEFIT_ADMINISTRN,COBRA orphan records,,2,PeopleSoft Enterprise HCM Benefits,COBRA,,DAY,1,Orphaned records in COBRA event tables.,,PeopleSoft Human Capital Management,PeopleSoft Advanced Benefits
PSFT_BENADMIN_START_DT,608012.1,"SELECT 'Our system detected that your Benefits Administration start date is set to ' || START_EVENT_DT || ' which is two years older than the current date' as KEY_DATA, 
'Proposed solution: What Should the Benefits Administration Start Date on the Installation Table Be? (Doc ID 608012.1)' as SOLUTION, 'Y' as EVENT
from SYSADM.PS_INSTALLATION WHERE BENEFIT_ADMINISTRN = 'Y' and START_EVENT_DT < sysdate - 730;","Consider changing the Benefits Administration Start Date on Installation table.
Which date you pick is a matter of your business requirements of course, but what we would recommend would be to go back to include at least one Open Enrollment. Typically, two years of data should be enough for most organizations to work with at any given time. Changing the date generally does improve performance, especially for customers with larger employee populations.",,Benefits Administration Start Date is two years older than the current date,Our system detected that your Benefits Administration start date is two years older than the current date,3,PeopleSoft Enterprise HCM Benefits Administration,EVENTS,OE,MONTH,1,"Changing the BenAdmin Start Date should improve performance, especially for customers with larger employee population.",,PeopleSoft Human Capital Management,PeopleSoft Advanced Benefits
